psraid,state,density,cregion,usr,q1,q2,q3,q5,q7a,q7b,q7c,q7d,q9,q10,q15a,q15b,q15c,q15d,q15e,q16a,q16b,q16c,q16d,q16e,q20,q21,q22,q23,q24,q24oe_1,q24oe_2,q24oe_3,q25,q26,q27,q33,q34,q40,q46m1,q46m2,q47m1,q47m2,q47m3,q47m4,q47m5,q47m6,q47m7,q48,q49,q50,q51,q52,q55,q55af1,q55bf1,q55cf1,q55df1,q55ff2,q55gf2,q55hf2,q55if2,q58a,q58b,q61f1,q63f2,q64,q66,party,partyln,q68,q69,q70,q71a,q71b,q71c,q71d,q71e,q71f,q71g,q73,q74,q74a,q74a_OE1,q74a_OE2,q74a_OE3,q75,q76,q77,q78,q79a,q79b,q79c,q79d,q79e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birthhisp,chr,relig,born,attend,income,reg,ideo,teapart2,pvote12a,pvote12b,q83,hh1,hh3,lc3,money2,q24vb,q70os,q74avb
100007,12,3,3,S,1,1,9,9,9,9,1,1,1,4,2,9,1,1,1,2,9,1,1,1,1,1,1,1,,,,,9,,2,3,1,9,5,3,,,,,,,,,2,1,9,2,1,,,,,1,1,3,3,1,1,,1,1,2,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,72,5,1,1,,,,3,,13,2,5,2,1,1,3,1,9,1,2,2,3,,,,
100009,34,5,1,S,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,,,2,2,1,3,2,2,1,5,1,8,,,,,,,2,2,2,2,1,,,,,1,1,1,2,1,2,,1,1,3,2,,,1,,,,,,,,,,,,,,,,3,,,,,,,,2,38,3,1,7,,,,3,,2,2,2,3,3,2,3,,,,4,7,2,,THE IMMIGRANTS,,
100012,34,4,1,S,2,1,2,2,3,2,3,4,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,,,,,2,2,1,2,1,1,2,3,,,,,,,,1,2,1,2,2,1,3,3,3,1,,,,,2,1,2,,2,1,3,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,70,8,2,1,,,,,2,11,,5,4,1,4,2,1,1,1,3,3,2,,,,
100018,45,1,3,S,2,2,1,9,1,3,4,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,2,2,2,4,3,2,1,,4,,,,,,,2,1,1,2,1,1,,,,,1,1,3,3,2,1,,1,1,2,1,,2,,88,3,2,2,3,3,2,2,1,2,1,97,,,3,,1,1,3,1,3,3,3,2,57,3,2,1,,,,,,1,1,4,5,3,3,1,,,,2,2,2,,,,NEED RECONSIDER THE INSURANCE BILL
100026,36,5,1,U,2,2,9,1,3,3,3,3,1,4,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,3,,,2,2,2,3,3,9,1,5,2,5,,,,,,,2,1,1,2,1,1,1,1,1,,,,,2,2,2,,1,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,5,9,9,,,,,,12,,9,10,1,9,3,1,9,3,9,9,9,,JUST TO MONITOR THE PEOPLE AND BIG BROTHER IS WATCHING,,
100027,36,1,1,U,1,1,9,2,3,1,3,3,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,,,,,9,,2,2,1,3,1,2,3,,,,,,,9,2,2,1,2,1,2,2,9,9,,,,,1,1,2,,1,2,2,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,75,3,2,1,,,,,,2,2,1,2,1,2,2,1,1,1,1,,,,,,
100034,34,5,1,S,2,1,2,9,4,1,9,3,2,2,1,2,2,2,2,2,9,1,1,1,1,1,1,1,,,,,2,1,2,3,1,2,2,1,8,,,,,,,2,2,1,1,2,1,1,2,1,1,,,,,2,2,2,,3,2,2,,,3,,,,,,,,,,,,,,,,3,,,,,,,,1,91,8,2,2,,,,,,1,2,2,6,1,3,2,1,1,3,1,,,,,,
100042,42,3,1,S,2,1,2,1,3,3,2,4,2,4,2,2,2,2,2,1,2,2,2,2,1,1,1,1,,,,,2,1,2,4,2,1,1,5,2,,,,,,,,1,2,2,2,1,2,2,1,2,,,,,1,1,2,,2,2,2,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,54,3,2,1,,,,,,12,,6,6,3,3,3,,,,1,,,,,,
100043,12,3,3,S,2,2,1,2,3,3,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,,,2,2,2,3,2,2,1,,7,5,,,,,,2,2,2,2,2,1,,,,,1,1,1,1,1,2,,1,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,73,3,2,1,,,,,,1,1,3,10,2,2,3,,,,2,2,3,,COME DOWN ON PEOPLE IN HIGHER PLACES AND CHECK UP ON THESE PPL,,
100045,39,4,2,U,1,1,2,1,9,1,2,4,1,2,9,1,2,2,2,2,1,1,1,1,2,1,2,1,,,,,9,,2,2,1,2,1,2,1,,,,,,,2,2,2,2,1,1,2,2,2,9,,,,,1,2,2,,2,9,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,86,2,2,9,,,,,,1,1,1,3,1,1,2,1,1,2,1,,,,,,
100056,42,2,1,S,2,2,1,2,2,3,2,3,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,,,2,2,2,3,3,3,1,3,9,,,,,,,2,2,2,2,2,1,,,,,1,2,1,1,1,1,,1,2,3,1,,1,,1,2,2,2,2,5,2,1,2,1,,,,,1,,2,1,3,3,2,2,3,2,71,3,2,1,,,,,,1,2,2,10,1,2,1,1,2,2,1,,,,I JUST THINK THEY WANT TO JUST LIMIT OUR RIGHTS AND PROMOTE THEIR OWN AGENDA,,
100058,48,5,3,S,2,2,1,2,2,3,2,8,3,1,2,1,2,1,1,2,1,1,1,1,2,1,9,1,,,,,9,,2,2,2,2,1,2,7,5,,,,,,2,2,9,2,2,1,2,2,1,2,,,,,1,1,2,,1,2,3,1,2,,4,2,3,2,2,8,4,2,2,2,1,98,,,9,,1,1,1,1,9,9,9,2,86,4,2,1,,,,,,1,2,2,3,1,3,1,1,1,2,1,,,,,MCCAIN,PEOPLE GET THE IDEA THEY ARE MORE FOR THE PEOPLE WITH MONEY; THEY GET THE WRONG IDEA.  RICK PERRY IS HERE AND HE IS GOOD
100063,22,1,3,S,2,2,2,2,2,3,2,3,3,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,,,2,2,2,4,3,1,1,5,1,,,,,,,,2,2,2,1,1,,,,,2,1,1,2,1,2,,1,1,1,3,1,2,,88,8,8,2,2,2,2,1,1,2,1,3,,,2,,2,1,3,9,9,1,3,2,62,4,2,1,,,,,,1,2,5,4,3,3,1,,,,3,3,1,,I THINK ITS PREDJUDICIAL,,IMMIGRATION
100071,29,2,2,S,1,1,9,2,3,2,2,4,3,9,2,2,2,2,2,2,1,1,1,1,2,2,1,1,,,,,1,,2,2,1,9,1,2,3,,,,,,,2,9,2,1,2,1,,,,,1,1,1,1,1,1,,2,1,2,2,,,3,,,,,,,,,,,,,,,,3,,,,,,,,2,83,3,2,1,,,,,,1,2,3,2,1,3,3,1,1,2,2,2,2,,,,
100076,50,1,1,R,2,2,2,1,3,3,2,3,2,1,2,2,1,1,1,2,2,2,1,2,3,2,2,2,1,4,,,2,2,2,4,3,3,3,2,,,,,,,,2,2,1,1,2,1,2,1,2,1,,,,,2,1,2,,1,2,1,,2,,99,2,2,3,2,5,3,2,2,2,1,50,97,97,2,,2,2,2,2,2,3,3,2,50,4,2,1,,,,,,1,2,3,6,3,3,3,,,,1,,,,PEOPLE''S PERSONAL LIVES. THEY ARE JUST NOT LOOKING AT TORRORIST. INFORMATION ABOUT PEOPLE''S PERSONAL LIVES.,,"AS FAR AS WORK FORCE AMERICAN DON''T GET OFFER OF JOBS IT SHOULD GET. STATE FUNDING NEEDS TO BE CHANGED DRASTICALLY, LESS STATE FUNDING SUCH AS FOR WELFARE, AND PEOPLE GETTING DISABILITY NEEDS TO BE LOOKED AT."
100078,12,2,3,S,2,2,1,2,9,4,4,4,3,1,2,9,1,2,1,1,2,2,1,2,1,1,2,2,1,8,,,2,9,2,4,3,3,1,2,2,7,1,,,,,1,1,2,2,2,1,,,,,2,2,1,3,1,1,,2,2,3,1,,1,,10,1,2,1,1,5,2,2,1,1,,,,,3,,1,1,3,3,3,3,3,1,63,7,2,1,,,,,,2,2,2,4,1,2,1,1,2,1,2,2,1,,I THINK THEYRE COLLECTING EVERYTHING AND CAN USE IT AGAINST THE INDIVIDUAL WHO THEY TAPPED INTO.,,
100080,27,5,2,U,2,2,1,2,3,4,3,4,3,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,,,2,1,1,4,3,2,5,1,7,,,,,,,,2,2,2,2,1,,,,,2,2,1,1,1,1,,2,2,3,3,1,2,,11,4,3,1,1,2,2,1,2,2,1,3,,,1,,1,1,2,3,1,1,1,2,60,6,2,1,,,,,,1,2,3,5,1,2,1,1,2,2,1,,,,POLITICAL,,IMMIGRATION
100088,1,2,3,R,2,2,9,2,3,3,2,3,9,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,6,,,2,9,2,4,2,2,5,1,3,2,4,,,,,,2,2,2,2,1,1,9,2,1,,,,,1,1,1,,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,4,2,1,,,,,,13,1,2,8,1,2,3,1,2,2,5,5,2,,WHAT EVER THEY WANT,,
100108,21,1,3,R,2,2,2,2,4,3,4,4,3,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,97,,,1,,1,4,2,3,1,,7,,,,,,,2,2,2,2,2,1,2,2,2,2,,,,,2,1,2,,2,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,42,2,2,1,,,,,,1,1,4,1,1,2,3,1,1,3,2,2,2,,FOR SPASMOMG,,
100116,34,5,1,S,2,2,1,2,2,4,2,4,4,9,2,1,1,1,1,1,2,2,2,9,1,2,2,2,1,6,,,9,,2,4,9,3,1,2,7,,,,,,,2,2,1,2,9,1,,,,,9,2,1,1,1,1,,9,9,2,1,,1,,1,2,2,1,2,1,2,1,2,1,,,,,1,,1,1,3,9,9,9,3,1,84,6,2,1,,,,,,1,2,3,6,1,2,1,1,2,1,2,2,3,,USING IT FOR WHAT EVER RESONS THEY WANT TO,,
