HTH,M,S,V,AGE,ANCESTRY,SEX,AS,SAMPLE,Temporal
01-96D,3,1,1,66,0,0,0,1,Modern
02-86D,2,1,1,39,0,0,0,1,Modern
05-01D,2,1,1,59,0,0,0,1,Modern
06-89D,3,1,1,40,0,0,0,1,Modern
15-97D,4,2,1,30's,0,0,0,1,Modern
18-05D,3,2,2,99,0,0,0,1,Modern
78-07D,1,1,1,24,0,0,0,1,Modern
01-83D,3,1,1,79,1,0,2,1,Modern
01-86aD,3,1,2,39,1,0,2,1,Modern
01-88D,3,1,1,71,1,0,2,1,Modern
02-92D,4,2,2,62,1,0,2,1,Modern
02-95D,3,1,1,80,1,0,2,1,Modern
03-06D,1,1,1,52,1,0,2,1,Modern
04-02D,2,1,2,60,1,0,2,1,Modern
04-81D,2,2,2,35,1,0,2,1,Modern
05-87D,2,1,1,53,1,0,2,1,Modern
05-92D,1,1,2,62,1,0,2,1,Modern
06-92D,2,2,2,62,1,0,2,1,Modern
06-95D,3,2,1,69,1,0,2,1,Modern
07-01D,3,2,1,50,1,0,2,1,Modern
07-92D,1,1,2,64,1,0,2,1,Modern
07-97D,2,1,2,32,1,0,2,1,Modern
07-98D,2,2,2,67,1,0,2,1,Modern
09-00D,3,1,2,43,1,0,2,1,Modern
11-90D,4,1,1,68,1,0,2,1,Modern
12-02D,3,1,1,49,1,0,2,1,Modern
13-02D,1,1,1,69,1,0,2,1,Modern
13-97D,3,2,2,71,1,0,2,1,Modern
17-02D,1,2,1,55,1,0,2,1,Modern
17-06D,1,1,2,50,1,0,2,1,Modern
17-97D,3,2,2,84,1,0,2,1,Modern
18-03D,2,1,3,47,1,0,2,1,Modern
18-94D,3,2,2,83,1,0,2,1,Modern
19-02D,4,4,3,85,1,0,2,1,Modern
20-03D,3,2,2,44,1,0,2,1,Modern
20-06D,2,1,1,71,1,0,2,1,Modern
20-91D,3,2,1,76,1,0,2,1,Modern
21-93D,3,1,1,82,1,0,2,1,Modern
24-00D,2,1,1,73,1,0,2,1,Modern
25-05D,3,1,2,51,1,0,2,1,Modern
26-93D,3,1,2,N/A,1,0,2,1,Modern
27-02D,1,1,1,63,1,0,2,1,Modern
35-02D,1,1,1,55,1,0,2,1,Modern
37-02D,2,1,1,52,1,0,2,1,Modern
39-01D,3,2,1,36,1,0,2,1,Modern
39-03D,2,2,2,52,1,0,2,1,Modern
39-06D,1,2,1,85,1,0,2,1,Modern
50-05D,1,1,1,68,1,0,2,1,Modern
54-05D,3,1,1,54,1,0,2,1,Modern
56-04D,3,1,3,76,1,0,2,1,Modern
57-05D,1,1,1,60,1,0,2,1,Modern
80-05D,3,1,1,59,1,0,2,1,Modern
85-05D,3,1,1,46,1,0,2,1,Modern
01-92D,4,3,4,55,0,1,1,1,Modern
03-88D,3,2,3,N/A,0,1,1,1,Modern
03-89D,4,4,5,49,0,1,1,1,Modern
04-95D,5,4,3,43,0,1,1,1,Modern
05-94D,4,4,3,46,0,1,1,1,Modern
08-91D,5,4,5,70's,0,1,1,1,Modern
08-99D,3,2,2,43,0,1,1,1,Modern
09-89D,4,2,3,43,0,1,1,1,Modern
10-99D,5,5,3,30-40,0,1,1,1,Modern
