SEX,pop,geog,BIBLIO,POPUL,GOL,XCB,BBH,ZYB,NPH,NLH,NLB,OBH,OBB,BPL,BNL
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,164,128,116,109,56,45,21,33,40,89,93
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,171,136,127,112,67,47,22,31,40,90,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,NA,125,115,69,48,23,34,42,86,94
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,135,127,115,66,45,26,31,42,94,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,123,,115,65,50,26,37,42,NA,
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,163,126,116,116,56,42,20,31,38,82,88
2,histw,B,MORANT 1931,Anglais London Spitalfields,174,127,NA,116,NA,NA,NA,29,NA,NA,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,128,121,116,69,50,24,35,42,94,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,171,135,116,117,63,47,21,34,40,84,91
2,histw,B,MORANT 1931,Anglais London Spitalfields,165,131,,117,67,47,21,30,39,91,96
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,178,134,124,117,70,51,26,36,43,95,97
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,131,126,117,68,50,20,35,42,86,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,138,121,117,68,47,21,34,41,95,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,174,135,126,117,NA,NA,NA,35,NA,87,
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,175,132,121,118,NA,NA,NA,36,42,NA,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,186,138,NA,118,NA,49,24,33,41,NA,98
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,,135,,118,NA,NA,NA,NA,NA,93,
2,histw,B,MORANT 1931,Anglais London Spitalfields,159,131,112,119,65,48,24,34,43,84,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,NA,128,122,119,57,48,25,33,40,94,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,171,134,119,119,70,50,23,35,42,83,89
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,134,129,119,65,46,23,31,41,95,94
2,histw,B,MORANT 1931,Anglais London Spitalfields,166,NA,127,119,58,45,22,29,38,84,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,173,,127,119,NA,NA,NA,NA,NA,NA,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,181,131,121,119,71,53,24,35,41,95,101
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,,133,121,NA,51,26,31,41,95,NA
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,NA,121,121,64,46,25,33,40,93,93
2,histw,B,MORANT 1931,Anglais London Spitalfields,179,132,127,121,64,47,21,33,42,92,99
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,133,NA,121,75,54,24,33,41,93,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,179,132,134,121,68,51,21,33,43,95,101
2,histw,B,MORANT 1931,Anglais London Spitalfields,173,134,,121,68,47,20,33,39,NA,
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,NA,127,122,60,45,24,33,42,95,98
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,186,132,121,122,68,48,22,35,44,NA,99
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,137,132,122,68,51,25,31,42,95,101
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,183,136,127,122,NA,NA,NA,34,42,NA,103
2,histw,B,MORANT 1931,Anglais London Spitalfields,169,129,126,123,61,46,23,31,39,97,98
2,histw,B,MORANT 1931,Anglais London Spitalfields,171,,123,123,64,48,24,29,40,94,
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,185,139,135,124,70,52,NA,35,41,88,NA
2,histw,B,MORANT 1931,Anglais London Spitalfields,NA,136,131,124,66,49,24,33,39,87,92
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,189,144,133,124,67,49,24,33,42,85,93
1,histw,B,MORANT 1931,Anglais London Spitalfields,,,,124,NA,NA,NA,31,40,NA,95
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,177,137,126,124,70,52,23,32,41,89,95
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,173,136,131,124,NA,52,21,36,40,NA,96
1,histw,B,MORANT 1931,Anglais London Spitalfields,172,NA,132,124,66,50,23,32,39,92,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,138,123,124,68,46,23,34,41,89,
2,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,182,143,125,125,68,51,20,33,41,85,92
2,histw,B,MORANT 1931,Anglais London Spitalfields,178,144,127,125,64,49,27,34,42,89,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,185,138,129,125,58,45,23,31,39,91,95
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,187,145,123,125,64,45,22,35,44,92,95
1,histw,B,MORANT 1931,Anglais London Spitalfields,NA,139,125,125,NA,49,24,34,43,NA,98
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,134,127,125,NA,48,24,30,42,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,182,134,128,125,NA,48,24,30,43,NA,99
1,histw,B,MORANT 1931,Anglais London Spitalfields,175,141,NA,125,64,48,25,33,43,94,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,188,136,125,125,69,51,25,35,43,98,103
1,histw,B,McDONELL 1904,Anglais London Whitechap. 17e s Great Plague,191,142,131,125,NA,NA,NA,32,41,NA,107
