,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
223,F,B,182,129,121,123,96,101,62,44,30,34,BF
224,F,B,178,133,123,127,96,94,59,47,33,31,BF
225,F,B,180,130,122,134,98,101,70,46,26,33,BF
226,F,B,182,134,129,131,96,97,65,48,28,36,BF
227,F,B,170,125,121,116,93,97.27845039,55.03020513,39,27,32,BF
228,F,B,189,129,119,130,97,102,70,48,26,33,BF
229,F,B,185,131.6599439,122,126,97,98,67,49,27,36,BF
230,F,B,181,135,126,123,98,97,61,45,27,32,BF
231,F,B,177,130,126,129,95,93,66,45,23,30,BF
232,F,B,182,119,122,125,100,103,60,42,25,32,BF
233,F,B,164,124,116,125,90,97,60,45,25,31,BF
234,F,B,178,127,118,118,95,97,63,45,25,33,BF
235,F,B,187,138,128,120,98,101,68,48,25,34,BF
236,F,B,171,132,115,116,91,90,57,43,25,31,BF
237,F,B,170,133,114,116,91,91,56,44,24,32,BF
238,F,B,173,126,118,129,94,98,59,46,25,33,BF
239,F,B,171,118,121,121,95,95,62,49,26,32,BF
240,F,B,185,131,121,133,98,104,66,45,26,34,BF
241,F,B,178,128,119,131,94,92,69,46,24,34,BF
242,F,B,186,130,124,129,97,92,64,48,29,31,BF
243,F,B,171,127,123,120,95,99,71,50,28,34,BF
244,F,B,170,128,117,119,93,92,66,46,26,31,BF
245,F,B,185,131,133,130,99,100,63,45,30,35,BF
246,F,B,171,128,121,128,91,91,65,50,27,33,BF
247,F,B,180,134,118,126,95,96,69,51,24,34,BF
248,F,B,182,124,123,124,98,103,67,48,25,35,BF
249,F,B,182,132,122,127,94,92,66,47,28,33,BF
250,F,B,174,128,122,116,94,100,64,45,29,36,BF
251,F,B,181,135,126,124,98,98,61,45,26,30,BF
252,F,B,169,126,120,130,94,96,66,48,23,32,BF
253,F,B,172,124,122,122,96,98,61,46,27,31,BF
254,F,B,185,136,119,127,95,98,69,47,26,35,BF
255,F,B,184,127,120,119,102,106,60,45,27,33,BF
256,F,B,174,131,126,135,104,100,62,45,24,35,BF
257,F,B,163,125,113,124,90,97,61,46,20,32,BF
258,F,B,184,127,120,119,102,106,60,45,27,33,BF
259,F,B,182,134,129,131,96,97,65,48,28,36,BF
260,F,B,169,125,121,130,94,96,70,48,25,32,BF
261,F,B,185,131,126,132,100,100.6952399,65.03628479,47,26,31,BF
262,F,B,169,125,121,130,94,96,70,48,25,32,BF
263,F,B,170,125,121,116,93,97.33926568,55.00395537,39,27,32,BF
319,F,B,182,129,121,123,96,101,62,44,30,34,BF
331,F,B,185,131,126,132,100,100.7223177,65.02459718,47,26,31,BF
332,F,B,191,129,127,134,102,101,78,51,26,33,BF
333,F,B,183,133,123,130,97,97,61,46,30,30,BF
334,F,B,181,132,119,131,95,90,68,49,26,34,BF
335,F,B,173,125,123,122,91,91,57,43,28,33,BF
336,F,B,181,135,126,123,98,97,61,45,27,32,BF
108,F,Bahutu,175,132,128,116,90.5,102.2,68.3,46.7,23.8,34.6,BHF
109,F,Bahutu,180.5,133,127,128,97,95.7,64.2,49.1,26.3,35.5,BHF
110,F,Bahutu,179.5,132,129,122,93.5,97.9,64.7,43.8,25.6,34.3,BHF
111,F,Bahutu,175,132,124,119,89,90.6,64.4,47.5,27.4,35.1,BHF
112,F,Bahutu,180,133,124.5,131,102.5,103.5,65.7,49.6,22.4,33.9,BHF
113,F,Bahutu,175.5,135,121,122,92,96.9,66.9,46.6,25,32.9,BHF
114,F,Bahutu,168,131,121,123,89,96.6,68.2,44.8,24.5,36.3,BHF
115,F,Bahutu,168,127,122,116,94,102,64.2,44.5,22.3,30.8,BHF
116,F,Bahutu,166.5478433,127.1613536,115.6326831,118.4313361,88.28963966,92.23042033,55.7,39.5,23.4,32.3,BHF
117,F,Bahutu,178.5,125,122.5530476,124,99,98.8,58,44.8,24.4,34.8,BHF
118,F,Bahutu,183,134,129.5921336,128,106,103.3,63,43.8,23,35.8,BHF
119,F,Bahutu,188,137.5,125,125.7960525,95,96.7,70.9,50,28.7,33.1,BHF
120,F,Bahutu,180,128,120,120,95.5,99,63.8,45.5,25.5,32.1,BHF
121,F,Bahutu,179,132,127,126,103,94.5,71.3,49.4,24.3,34.4,BHF
122,F,Bahutu,188,128,126.5978709,125.6234486,98.62360232,102.9592086,59.4298203,41.6,28.6,32.74438342,BHF
123,F,Bahutu,188,133,129.0945406,129.7957677,100.8298951,102.4488994,68.50067275,48.9402777,26.7797403,35.04711417,BHF
124,F,Bahutu,180,136,130,127.5,96,103.3,65.2,46,25.3,32,BHF
125,F,Bahutu,176,131,125,121,96,96.8,64.1,44.5,22.7,32.3,BHF
126,F,Bahutu,185,129,133.3084075,128,107,108.1,63.7,50.9,27.4,33.5,BHF
127,F,Bahutu,182,134,128,126,97,97.7,70.7,48.7,25.6,35.9,BHF
128,F,Bahutu,178,133,118,123,95,96.2,64,44.4,25.9,32.6,BHF
129,F,Bahutu,165,124,118.3521532,116,93,91.6,60.2,43,24.9,31.1,BHF
