,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
289,M,B,190,141,129,141,104,109,72,48,28,34,BM
290,M,B,199.5021617,131,135,135,109,113,72,55,30,38,BM
291,M,B,196,123,132,131,106,102,67,49,33,36,BM
292,M,B,177,134,127,130,98,97,61,45,25,35,BM
293,M,B,181,129,125.2373428,134,98,95,65,49,26,36,BM
294,M,B,189,152,136,135,104,109,68,49,29,33,BM
295,M,B,197,139,131,128,105,111,71,51,29,35,BM
296,M,B,186,129,136,134,101,102,65,51,26,32,BM
297,M,B,186,132,130,134,104,101,69,48,29,34,BM
298,M,B,191,144,139,138,101,100,70,51,27,35,BM
299,M,B,192,126,124,137,106,105,69,48,30,33,BM
300,M,B,199,131,135,135,108,108,70,53,33,33,BM
301,M,B,182,125,134,135,104,107,58,44,26,33,BM
302,M,B,188,131,132,131,102,106,70,50,24,35,BM
303,M,B,191,144,139,138,101,100,70,51,27,35,BM
304,M,B,192,145,140,138,101,101,71,50,26,34,BM
305,M,B,187,132,124,126,100,107,64,49,28,34,BM
306,M,B,187,133,131,131,103,109,65,45,30,33,BM
307,M,B,187,131,125,135,95,101,62,45,26,34,BM
308,M,B,188,132,135,133,100,107,61,42,29,32,BM
309,M,B,182,126,125,135,103,104,68,48,24,34,BM
310,M,B,184,129,120,126,96,95,65,45,23,31,BM
311,M,B,186.1990134,126,127,128.1844472,100,103,70,52,28,36,BM
312,M,B,188,131,127,134,103,102,62,43,27,31,BM
313,M,B,183.6728694,128,129,129,101,98,60,47,29,33,BM
314,M,B,188,141,131,136,99,99,67,50,30,39,BM
315,M,B,187,132,127,134,100,99,72,49,27,35,BM
316,M,B,197,134,134,143,106,101,65,47,31,35,BM
317,M,B,188,138,134,136,102,101,64,47,28,35,BM
318,M,B,190,134,132,135,100,98,64,44,28,33,BM
319,M,B,187,132,124,126,100,107,64,49,28,34,BM
320,M,B,188,127,119,132,99,106,72,50,27,32,BM
321,M,B,183,132,133,134,107,107,71,52,31,35,BM
322,M,B,183,122,124,133,106,108,69,49,27,37,BM
323,M,B,192,127,129.2331687,127,99,102,69,51,31,34,BM
324,M,B,195,133,136,143,103,102,72,53,28,33,BM
325,M,B,193,133,135,140,103,104,69,52,30,32,BM
326,M,B,187.0144653,134,132,133.3190681,103,108,63,44,26,34,BM
327,M,B,199,129,126,141,103,101.508525,66.07748703,45,25,34,BM
328,M,B,199,129,126,141,103,101.508525,66.07748703,45,25,34,BM
329,M,B,178,127,127,133,103,104.4190858,62.57159395,45,28,33,BM
330,M,B,181,125,127,136,100,100,65,48,28,33,BM
331,M,B,190,130,129,135,107,109.6753642,60.01857983,41,29,32,BM
332,M,B,180,134,125,121,98,103,69,50,27,34,BM
333,M,B,182,125,124,121,95,91,59,45,27,35,BM
334,M,B,186,128,121,128,97,103,69,46,26,29,BM
335,M,B,175,133,139,124,100,107,73,50,29,34,BM
336,M,B,185,136,133,133,101,100.689997,65.73322341,48,27,34,BM
337,M,B,182,128,128,128,102,100,62,47,30,31,BM
338,M,B,193,139,128,135,100,97,69,50,27,31,BM
339,M,B,193,134,132,126,105,100,64,49,28,32,BM
340,M,B,177,130,128,132,99,101,66,48,27,37,BM
341,M,B,185,123,124,134,102,97,65,49,26,34,BM
342,M,B,192,120,124,144,103,103.4493089,68.66556713,48,29,35,BM
