pop,pbd
C,0
C,1
C,0
C,0
C,1
C,0
C,1
C,0
C,0
C,0
C,0
C,0
C,1
C,1
C,1
C,1
C,1
C,0
C,0
C,0
C,0
C,0
C,1
C,0
C,0
C,1
C,0
C,1
C,1
C,1
C,1
C,0
C,0
C,0
C,0
C,1
C,1
C,0
C,0
C,1
C,1
C,0
C,1
C,0
C,1
C,0
C,0
C,0
C,0
C,1
C,0
C,0
C,0
C,1
C,0
C,0
C,0
C,0
C,1
C,1
C,0
C,0
C,0
C,0
C,1
C,0
C,1
C,1
C,0
C,0
C,1
C,1
C,1
C,0
W,0
W,0
W,0
W,0
W,0
W,0
B,1
B,0
W,0
W,0
W,0
W,1
B,0
W,0
W,0
B,1
W,0
B,1
W,0
C,0
W,0
B,1
W,0
W,0
C,0
W,0
W,0
W,0
B,0
W,0
B,1
B,0
W,1
W,0
W,0
W,0
W,0
W,0
W,0
W,0
W,1
B,0
B,0
B,0
B,1
B,0
W,0
W,0
B,1
W,1
C,1
W,1
W,1
W,0
W,0
B,0
B,1
W,0
B,1
B,0
B,0
B,1
C,1
B,0
C,1
B,1
B,0
B,1
B,0
W,0
W,1
B,0
C,0
W,0
B,0
B,1
B,0
W,0
W,NA
W,0
B,1
W,1
W,0
B,0
B,1
B,0
W,0
W,0
W,0
W,1
B,0
B,0
B,NA
B,0
B,NA
W,0
W,0
B,0
B,NA
B,0
B,NA
W,1
B,0
W,0
W,0
B,1
W,0
C,1
B,0
B,0
B,0
B,0
W,0
B,1
B,1
B,0
C,1
B,0
B,0
B,0
B,0
W,0
B,NA
C,NA
C,0
B,0
W,0
W,1
B,0
B,0
B,1
B,1
B,1
W,0
C,0
C,0
B,0
W,0
W,0
C,1
