cat_num,age_y,height(cm),weight (kg)
1231,4.12,,14.10
1002,1.72,42.00,NA
1214,0.37,43.00,3.80
1289,0.12,45.00,2.20
1261,0.15,45.50,3.90
1293,0.14,47.00,1.94
1247,0.16,49.00,3.32
1161,0.18,50.00,4.10
1189,0.18,52.00,4.62
1283,0.13,52.00,3.27
1301,0.24,52.00,3.77
1315,0.22,52.00,3.41
1319,0.24,53.00,4.80
321,3.29,53.40,14.60
321,3.80,54.00,15.70
321,2.67,54.00,14.10
347,0.09,54.00,4.70
1302,0.16,54.00,3.76
1245,2.06,55.00,13.00
1297,0.17,55.00,4.22
1184,1.95,57.00,9.70
1144,0.11,57.00,3.96
1192,0.47,57.00,4.71
1318,0.34,57.00,4.69
1205,0.46,58.00,5.50
1275,0.20,58.00,5.81
1299,#VALUE!,58.00,6.51
881,0.33,59.00,6.00
1237,0.59,60.00,5.90
1271,0.23,60.00,4.91
1291,#VALUE!,61.00,5.53
1281,0.47,61.80,7.70
1298,0.85,63.00,8.90
1309,0.62,63.00,6.85
1325,0.36,64.00,5.37
1359,0.69,64.00,6.40
620,2.39,65.00,8.65
1178,0.53,65.00,6.13
1226,0.58,65.00,6.20
1292,0.82,65.00,5.83
1306,0.71,65.00,6.83
1258,#VALUE!,66.00,10.80
1329,0.54,66.00,7.36
1138,0.94,68.00,6.46
1197,#VALUE!,68.00,7.43
1210,#VALUE!,68.00,9.40
857,0.99,69.00,6.60
1244,0.72,69.00,7.38
1235,0.14,70.00,11.30
1307,0.50,70.00,8.78
1359,0.97,70.50,7.50
1359,1.02,70.50,7.60
1122,0.68,71.00,6.17
1212,0.82,71.00,7.10
1359,1.07,71.00,7.70
1359,1.07,71.00,NA
1359,1.07,72.00,NA
1359,1.09,72.00,8.30
344,0.64,72.50,8.46
552,1.25,72.80,7.20
552,1.33,73.00,7.25
1152,#VALUE!,73.00,14.42
1154,1.12,73.00,9.90
1203,1.33,73.00,9.70
552,1.44,73.40,7.35
552,1.50,74.20,7.48
647,1.17,75.00,8.20
862,0.93,76.00,10.00
1282,0.79,76.00,10.40
1322,1.30,76.00,9.00
