cat_num,h_msb,f_msb
1,13.62,15.93
4,14.03,21.56
5,16.88,22.35
6,18.39,25.35
9,14.49,17.81
10,15.73,17.08
11,16.68,21.19
12,16.66,18.28
13,14.16,17.82
14,12.63,13.95
16,13.54,13.84
19,16.04,19.26
21,11.54,14.07
23,13.66,14.13
25,18.07,17.15
27,16.7,21.08
32,13.84,20.82
34,13.26,14.84
35,20.76,23.51
40,13.49,18.32
41,16.65,20.31
42,12.21,12.87
45,13.29,16.54
46,14.21,15.26
47,20.15,25.74
49,17.41,17.85
50,17.4,22.93
54,13.53,15.74
58,17.39,24.28
62,12.16,14.79
63,11.73,15.39
64,15.37,17.09
65,11.86,13.31
68,16.62,18.49
72,18.65,22.7
73,15.67,17.15
79,14.74,14.54
80,13.87,15.57
82,17.35,20.96
85,13.19,16.47
86,19.79,28.81
87,14.67,16.41
89,18.19,23.03
92,13.93,18.62
93,17.27,20.61
94,18.1,18.81
96,14.85,21.85
97,13.58,18.29
98,17.59,21.22
99,15.37,20.47
100,13.46,20.17
101,11.12,13.43
105,17.89,20.75
108,16.66,21.28
109,17.86,19.98
110,16.14,21.16
111,15.46,17.6
112,14.23,18.49
115,17.98,23.18
119,14.58,20.11
121,18.16,29.22
122,15.71,23.06
125,16.88,24.42
126,14.81,22.21
127,15.97,18.24
133,15.68,19.54
135,16.31,19.76
137,16.6,21.02
139,19.73,23.85
141,12.83,14.44
142,18.68,21.89
143,13.82,18.08
145,14.23,16.21
146,17.71,24.63
147,14.18,18.84
150,17,20.17
151,16.35,19.4
153,14.83,18.03
155,16.7,22
156,11.41,12.61
159,21.06,23.69
160,15.49,17.46
162,15.98,24.75
164,13.54,16.44
166,14.01,17.09
168,13.63,14.42
172,17.52,20.24
173,19.08,21.34
175,15.84,26.33
182,17.58,23.39
183,19.97,25.44
184,17.37,21.12
185,16.56,22.5
188,17.35,17.54
190,11.85,14.6
192,16.36,18.49
193,16.57,21.7
194,13.53,15.4
196,14.22,22.83
197,16.39,20.86
202,14.12,18.63
203,17.42,17.71
204,16.35,19.58
205,14.62,16.99
209,12.58,15.56
210,16.78,21.19
214,14.05,20.35
215,17.81,23.07
216,16.42,21.89
222,10.99,12.74
223,15.07,18.91
226,14.52,19.54
228,19.65,23
229,17.53,24.28
230,16.41,21.75
232,16.32,19.64
233,14.84,21.08
237,16.55,20.9
238,13.09,18.87
239,14.07,17.9
241,17,23.39
243,18.62,23.93
245,14.86,19.58
246,14.14,19.77
247,14.62,15.11
256,16.71,23.18
257,15.5,19.88
258,16.52,20.69
259,15.74,17.84
260,14.29,17.87
263,18.18,20.11
265,18.84,23.89
266,12.48,15.12
269,14.14,20.18
270,12.74,16.2
271,16.37,21.23
273,16.26,20.32
274,14.89,19.12
276,16.24,23.59
278,16.36,22.45
281,18.04,20.83
282,17.95,18.21
283,13.33,17.49
286,19.68,21.25
287,16.37,21.28
288,14.65,18.46
290,14.19,15.41
293,17.54,20.33
294,15.98,19.19
295,13.06,14.67
298,14.73,16.85
299,15.37,22.19
300,15.4,22.15
301,14.47,21.41
303,15.49,22.95
304,16.72,19.43
306,13.36,16.19
307,13.49,14.59
308,14.77,14.62
309,14.11,14.81
311,13.88,19.89
313,13.87,17.39
315,20.14,26.71
316,12.57,14.27
317,20.84,22.45
319,9.92,11.87
322,11.18,14.89
324,11.84,15.81
325,14.39,16.6
327,13.27,16.11
329,13.72,15.8
330,12.04,14.58
331,15.52,21.69
332,18.91,22.54
333,17.55,23.87
334,19.95,24.91
336,17.8,23.42
337,16.02,20.24
338,14.63,18.12
341,14.2,19.45
342,12.17,15.95
343,11.94,14.89
344,16.73,22.36
345,15.3,19.44
346,18.41,21.25
347,17.81,19.68
348,14.81,19.77
351,14.42,18.79
353,15.96,23.8
356,16.02,18.11
358,17.53,20.2
359,16.89,20.62
360,14.11,13.85
363,18.11,20.83
365,9.75,12.27
366,17.48,23.44
367,14.36,14.21
368,18.74,20.2
369,15.84,18.07
370,21.97,25.44
371,14.65,23.63
372,17.08,19.2
374,17.79,22.83
376,14.11,16.54
377,23.72,29.52
378,11.81,13.22
382,14.65,18.42
384,14.6,16.26
385,16.69,19.17
387,16.99,20.22
388,13.81,19
389,17.93,20.21
391,13.81,20.25
392,16.58,22.26
394,15.54,19.23
398,13.32,17.04
400,16.79,22.12
401,16.25,18.53
402,17.04,21.88
403,16.18,16.88
405,18.35,23.13
409,15.87,17.26
412,18.84,23.75
413,13.56,18.56
415,12.53,13.78
420,19.55,21.51
421,14.2,13.72
423,17.77,20.38
424,16.84,20.48
425,15.81,15.27
427,18.01,26.16
428,17.07,20.68
432,13.93,20.37
433,14.26,17.55
435,15.13,15.74
