spec,SPC,MIPR,VA,sex
6338UP,1,2,1,F
6353UP,3,3,4,M
5029UP,2,2,3,F
5569UP,4,3,5,M
5714UP,2,3,2,F
5892UP,3,3,1,F
5953UP,4,4,5,M
6157UP,2,2,2,F
5856UP,4,4,4,M
5977UP,3,3,4,M
6231UP,3,3,4,M
6256UP,2,2,2,F
5957UP,2,2,2,F
6039UP,3,4,4,M
6058UP,4,3,5,M
5431UP,4,3,5,M
5761UP,4,3,5,M
2788UP,4,4,4,M
5262UP,4,3,5,M
5753UP,5,4,4,M
2813UP,4,4,5,M
5291UP,4,3,5,M
6087UP,3,3,5,M
2940UP,3,4,5,M
6390UP,2,2,2,F
6192UP,3,2,4,F
6290UP,2,1,2,F
6234UP,1,1,1,F
6314UP,4,5,5,M
6371UP,4,3,4,M
6188UP,3,3,4,M
6312UP,4,3,4,M
5508UP,3,3,5,M
6220UP,3,3,4,M
6251UP,4,3,5,M
6119UP,5,2,3,M
6199UP,5,2,2,M
6393UP,4,3,3,M
6030UP,5,3,5,M
6297UP,3,3,4,M
5868UP,5,2,5,M
5797UP,2,2,3,F
6094UP,2,1,2,F
6358UP,2,1,2,F
6372UP,3,3,1,F
5878UP,2,1,1,F
5767UP,2,1,2,F
6139UP,2,1,1,F
6000UP,2,1,2,F
5150UP,2,3,1,F
5932UP,3,2,1,F
6068UP,3,2,2,F
6388UP,2,1,3,F
4786UP,1,2,2,F
5259UP,2,3,3,F
6328UP,2,3,1,F
5086UP,2,1,3,F
5783UP,2,3,3,F
6145UP,2,1,1,F
5306UP,1,2,2,F
5628UP,2,3,1,F
6187UP,2,2,3,F
6287UP,3,2,2,F
5930UP,5,5,5,M
5944UP,5,5,4,M
6463UP,2,2,2,F
5966UP,3,4,4,M
6367UP,4,5,4,M
6374UP,4,3,4,M
5989UP,4,3,5,M
6361UP,3,2,4,F
5998UP,2,1,3,F
6364UP,4,4,5,M
6239UP,4,4,4,M
6334UP,2,4,3,M
5816UP,3,4,4,M
5870UP,4,3,5,M
5975UP,3,4,5,M
6262UP,4,4,3,M
6318UP,4,4,5,M
6479UP,2,2,2,F
6426UP,3,4,4,M
6445UP,2,1,3,F
6458UP,2,3,3,M
6530UP,4,4,5,M
6421UP,2,3,2,F
6480UP,2,1,2,F
5214UP,3,4,4,M
5247UP,3,4,5,M
5050UP,3,5,5,M
5014UP,4,4,4,M
4464UP,2,1,1,F
4543UP,3,1,1,F
2706UP,3,2,3,F
5286UP,2,1,2,F
6376UP,4,3,4,M
5152UP,4,3,5,M
6183UP,5,4,3,M
6300UP,3,3,5,M
6317UP,4,2,4,M
6308UP,4,4,4,M
6323UP,4,2,4,M
5361UP,4,4,4,M
5398UP,2,3,4,M
6186UP,4,3,5,M
3154UP,1,1,2,F
4448UP,2,3,3,F
4256UP,1,2,4,F
4421UP,4,4,5,M
4458UP,5,5,5,M
4240UP,2,1,3,F
4405UP,5,4,5,M
